sample,time_s,rpm,crank_phase_deg,cylinder,bank
43324,0.982403628,5535.603,72.338379,5,B
43420,0.984580499,5537.856,144.654999,1,A
43515,0.986734694,5540.090,216.247314,6,B
43611,0.988911565,5542.352,288.622589,2,A
43706,0.991065760,5544.594,360.273071,7,B
43802,0.993242630,5546.864,432.707245,3,A
43897,0.995396825,5549.114,504.416077,8,B
43992,0.997551020,5551.368,576.154053,4,A
44088,0.999727891,5553.650,648.676758,9,B
44183,1.001882086,5555.913,0.473401,0,A
44278,1.004036281,5558.179,72.299316,5,B
44373,1.006190476,5560.450,144.154556,1,A
44468,1.008344671,5562.725,216.039169,6,B
44564,1.010521542,5565.027,288.710358,2,A
44659,1.012675737,5567.310,360.654175,7,B
44754,1.014829932,5569.597,432.627533,3,A
44849,1.016984127,5571.888,504.630463,8,B
44944,1.019138322,5574.183,576.663025,4,A
45039,1.021292517,5576.481,648.725342,9,B
45133,1.023424036,5578.760,0.058306,0,A
45228,1.025578231,5581.067,72.179787,5,B
45323,1.027732426,5583.378,144.331116,1,A
45418,1.029886621,5585.693,216.512344,6,B
45513,1.032040816,5588.012,288.723511,2,A
45607,1.034172336,5590.310,360.204071,7,B
45702,1.036326531,5592.637,432.474976,3,A
45796,1.038458050,5594.943,504.014771,8,B
45891,1.040612245,5597.278,576.345642,4,A
45986,1.042766440,5599.617,648.706665,9,B
46080,1.044897959,5601.936,0.335786,0,A
46175,1.047052154,5604.282,72.757072,5,B
46269,1.049183673,5606.608,144.445908,1,A
46363,1.051315193,5608.938,216.164536,6,B
46458,1.053469388,5611.297,288.676392,2,A
46552,1.055600907,5613.634,360.455017,7,B
46646,1.057732426,5615.976,432.263580,3,A
46740,1.059863946,5618.321,504.102112,8,B
46835,1.062018141,5620.696,576.735352,4,A
46929,1.064149660,5623.049,648.634277,9,B
47023,1.066281179,5625.406,0.563354,0,A
47117,1.068412698,5627.767,72.522583,5,B
47211,1.070544218,5630.132,144.512024,1,A
47305,1.072675737,5632.501,216.531738,6,B
47399,1.074807256,5634.874,288.581787,2,A
47493,1.076938776,5637.250,360.662170,7,B
47586,1.079047619,5639.605,432.005707,3,A
47680,1.081179138,5641.989,504.146667,8,B
47774,1.083310658,5644.377,576.318176,4,A
47868,1.085442177,5646.769,648.520203,9,B
47962,1.087573696,5649.165,0.752862,0,A
48055,1.089682540,5651.539,72.247261,5,B
48149,1.091814059,5653.942,144.540970,1,A
48242,1.093922902,5656.323,216.095871,6,B
48336,1.096054422,5658.734,288.450806,2,A
48429,1.098163265,5661.123,360.066406,7,B
48523,1.100294785,5663.542,432.482788,3,A
48616,1.102403628,5665.938,504.159241,8,B
48710,1.104535147,5668.364,576.637268,4,A
48803,1.106643991,5670.769,648.374817,9,B
48896,1.108752834,5673.176,0.142761,0,A
48990,1.110884354,5675.613,72.713409,5,B
49083,1.112993197,5678.029,144.542740,1,A
49176,1.115102041,5680.448,216.402649,6,B
49269,1.117210884,5682.870,288.293182,2,A
49362,1.119319728,5685.296,360.214386,7,B
49455,1.121428571,5687.727,432.166351,3,A
49548,1.123537415,5690.160,504.149048,8,B
49641,1.125646259,5692.598,576.162598,4,A
49734,1.127755102,5695.039,648.206970,9,B
49827,1.129863946,5697.484,0.282279,0,A
49920,1.131972789,5699.932,72.388542,5,B
50013,1.134081633,5702.384,144.525818,1,A
50106,1.136190476,5704.840,216.694138,6,B
50198,1.138276644,5707.273,288.117035,2,A
50291,1.140385488,5709.737,360.347260,7,B
50384,1.142494331,5712.204,432.608673,3,A
50476,1.144580499,5714.647,504.123840,8,B
50569,1.146689342,5717.122,576.447449,4,A
50661,1.148775510,5719.573,648.024170,9,B
50754,1.150884354,5722.054,0.410158,0,A
50846,1.152970522,5724.513,72.048698,5,B
50939,1.155079365,5727.001,144.497223,1,A
51031,1.157165533,5729.467,216.197723,6,B
51124,1.159274376,5731.963,288.708984,2,A
51216,1.161360544,5734.436,360.471619,7,B
51308,1.163446712,5736.912,432.265259,3,A
51400,1.165532880,5739.392,504.089905,8,B
51493,1.167641723,5741.902,576.726807,4,A
51585,1.169727891,5744.389,648.614014,9,B
51677,1.171814059,5746.879,0.532292,0,A
51769,1.173900227,5749.374,72.481796,5,B
51861,1.175986395,5751.871,144.462540,1,A
51953,1.178072562,5754.372,216.474564,6,B
52045,1.180158730,5756.877,288.517914,2,A
52137,1.182244898,5759.385,360.592651,7,B
52229,1.184331066,5761.897,432.698822,3,A
52320,1.186394558,5764.385,504.052155,8,B
52412,1.188480726,5766.903,576.220947,4,A
52504,1.190566893,5769.426,648.421265,9,B
52596,1.192653061,5771.952,0.653160,0,A
52687,1.194716553,5774.453,72.131073,5,B
52779,1.196802721,5776.986,144.425964,1,A
52871,1.198888889,5779.522,216.752579,6,B
52962,1.200952381,5782.035,288.324280,2,A
53054,1.203038549,5784.578,360.714142,7,B
53145,1.205102041,5787.097,432.348480,3,A
53236,1.207165533,5789.619,504.014038,8,B
53328,1.209251701,5792.173,576.498901,4,A
53419,1.211315193,5794.702,648.227356,9,B
53511,1.213401361,5797.263,0.775860,0,A
53602,1.215464853,5799.799,72.567360,5,B
53693,1.217528345,5802.338,144.390289,1,A
53784,1.219591837,5804.881,216.244675,6,B
53875,1.221655329,5807.428,288.130585,2,A
53966,1.223718821,5809.978,360.048004,7,B
54058,1.225804989,5812.559,432.787872,3,A
54149,1.227868481,5815.115,504.768890,8,B
54240,1.229931973,5817.676,576.781555,4,A
54330,1.231972789,5820.210,648.034119,9,B
54421,1.234036281,5822.777,0.109916,0,A
54512,1.236099773,5825.347,72.217529,5,B
54603,1.238163265,5827.921,144.356979,1,A
54694,1.240226757,5830.498,216.528320,6,B
54785,1.242290249,5833.078,288.731567,2,A
54875,1.244331066,5835.633,360.172821,7,B
54966,1.246394558,5838.220,432.439697,3,A
55057,1.248458050,5840.810,504.738647,8,B
55147,1.250498866,5843.375,576.274658,4,A
55238,1.252562358,5845.972,648.637451,9,B
55328,1.254603175,5848.543,0.236683,0,A
55419,1.256666667,5851.147,72.663513,5,B
55509,1.258707483,5853.726,144.326172,1,A
55599,1.260748299,5856.307,216.020416,6,B
55690,1.262811791,5858.920,288.543427,2,A
55780,1.264852608,5861.508,360.301331,7,B
55870,1.266893424,5864.100,432.090942,3,A
55961,1.268956916,5866.723,504.710510,8,B
56051,1.270997732,5869.321,576.564026,4,A
56141,1.273038549,5871.922,648.449341,9,B
